Product Name,Brand,Price,Rating,Link
Women Embroidered Tote Bag,CAPRESE,"₹1,400",4.5,https://www.ajio.com/caprese-women-embroidered-tote-bag/p/4933854270_multi
Women Croc-Embossed Tote Bag with Adjustable Strap,CAPRESE,"₹1,349",No Rating,https://www.ajio.com/caprese-women-croc-embossed-tote-bag-with-adjustable-strap/p/469520372_orange
Women Tote Bag with Brand Metal Accent,CAPRESE,₹755,No Rating,https://www.ajio.com/caprese-women-tote-bag-with-brand-metal-accent/p/469537849_blush
Women Printed Satchel Bag,CAPRESE,₹971,No Rating,https://www.ajio.com/caprese-women-printed-satchel-bag/p/4933853810_multi
Women Crossbody Bag with Adjustable Strap,CAPRESE,₹980,4,https://www.ajio.com/caprese-women-crossbody-bag-with-adjustable-strap/p/4933853250_multi
Sling Bag with Button Closure,CAPRESE,₹675,No Rating,https://www.ajio.com/caprese-sling-bag-with-button-closure/p/450139334_almond
Sling Bag with Adjustable Strap,CAPRESE,"₹1,295",4.5,https://www.ajio.com/caprese-sling-bag-with-adjustable-strap/p/460708497_coral
Women Typographic Print Tote Bag ,CAPRESE,₹950,No Rating,https://www.ajio.com/caprese-women-typographic-print-tote-bag-/p/467340916_pink
Women Printed Tote Bag with Metal Accent,CAPRESE,₹950,No Rating,https://www.ajio.com/caprese-women-printed-tote-bag-with-metal-accent/p/467230211_yellow
Quilted Sling Bag with Detachable Strap,CAPRESE,"₹1,960",2.5,https://www.ajio.com/caprese-quilted-sling-bag-with-detachable-strap/p/460538595_peach
Quilted Sling Bag,Berrypeckers,₹495,No Rating,https://www.ajio.com/berrypeckers-quilted-sling-bag/p/460667869_blue
Quilted Sling Bag with Metal Chain Strap,Berrypeckers,₹560,3.4,https://www.ajio.com/berrypeckers-quilted-sling-bag-with-metal-chain-strap/p/460667842_gold
Sling Bag with Detachable Strap,CAPRESE,"₹1,620",No Rating,https://www.ajio.com/caprese-sling-bag-with-detachable-strap/p/460821316_tan
Quilted Backpack with Adjustable Straps,Berrypeckers,₹630,No Rating,https://www.ajio.com/berrypeckers-quilted-backpack-with-adjustable-straps/p/460833830_cherry
Textured Shoulder Bag with Short Handles,CAPRESE,"₹1,400",4.9,https://www.ajio.com/caprese-textured-shoulder-bag-with-short-handles/p/460538628_pink
